version,url,sha,beta
0.12.1,https://releases.hashicorp.com/terraform/0.12.1/terraform_0.12.1_linux_amd64.zip,c9a30d3e3abf751b3b3e323897e9c7cb411d5c4bb7473a3284a2a2b4b89f93ed,false
0.10.0-beta1,https://releases.hashicorp.com/terraform/0.10.0-beta1/terraform_0.10.0-beta1_linux_amd64.zip,9e14c850054faaaa3f40a1c28d8991fc4a42f0dc2d53564d8f60b12243c7ae5d,true
0.7.7,https://releases.hashicorp.com/terraform/0.7.7/terraform_0.7.7_linux_amd64.zip,478c4fe311392804ffc449995e8d7f903abab56f7483f317c1f120d8c21b1a81,false
1.1.3,https://releases.hashicorp.com/terraform/1.1.3/terraform_1.1.3_linux_amd64.zip,b215de2a18947fff41803716b1829a3c462c4f009b687c2cbdb52ceb51157c2f,false
0.14.2,https://releases.hashicorp.com/terraform/0.14.2/terraform_0.14.2_linux_amd64.zip,6f380c0c7a846f9e0aedb98a2073d2cbd7d1e2dc0e070273f9325f1b69e668b2,false
0.13.6,https://releases.hashicorp.com/terraform/0.13.6/terraform_0.13.6_linux_amd64.zip,55f2db00b05675026be9c898bdd3e8230ff0c5c78dd12d743ca38032092abfc9,false
0.12.19,https://releases.hashicorp.com/terraform/0.12.19/terraform_0.12.19_linux_amd64.zip,a549486112f5350075fb540cfd873deb970a9baf8a028a86ee7b4472fc91e167,false
0.11.12,https://releases.hashicorp.com/terraform/0.11.12/terraform_0.11.12_linux_amd64.zip,d3bb9c958c56a178528ef3b18e27a24cfd96c9aa6da3c7b6dc8d7dd8a4b9dab9,false
0.8.6,https://releases.hashicorp.com/terraform/0.8.6/terraform_0.8.6_linux_amd64.zip,2b4f330e70b757a640ba8d4e1eada86445240b5f8cd43194d878e0c05175f6c0,false
1.1.0,https://releases.hashicorp.com/terraform/1.1.0/terraform_1.1.0_linux_amd64.zip,763378aa75500ce5ba67d0cba8aa605670cd28bf8bafc709333a30908441acb5,false
1.1.0-alpha20210922,https://releases.hashicorp.com/terraform/1.1.0-alpha20210922/terraform_1.1.0-alpha20210922_linux_amd64.zip,572a98650f8481d67bfce7ffea12baf675a9ea389661037e7d9b48a9a2c08ce6,false
